2018-11-19 12:20:58.2935 DEBUG                   21|   AnonymousSafeObserver`1 |               OnNext | No trace listeners. 
2018-11-19 14:24:31.5198 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Color printer [no] 
2018-11-19 14:24:31.5198 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Color scanner [yes] 
2018-11-19 14:24:31.5198 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] OpenAPI version [101.0] 
2018-11-19 14:24:31.5198 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] OpenAPI SSL [no] 
2018-11-19 14:24:31.5198 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] OpenAPI Port [50001] 
2018-11-19 14:24:31.5198 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Authentication device - Manufacturer [Y Soft Corporation], ProductName [USB reader v2], Firmware [2.2.12usb], SerialNumber [SQUB302Y00E665E] 
2018-11-19 14:24:31.5198 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Supported function versions [ScanTypeD]: [4.12, 4.10, 4.9, 4.8, 4.6, 4.5, 4.0, 3.7, 3.6, 3.5, 3.1, 3.0, 2.2, 2.1, 2.0] 
2018-11-19 14:24:31.5198 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Supported function versions [ScanTypeS]: [4.12, 4.10, 4.9, 4.8, 4.6, 4.5, 4.0, 3.7, 3.6, 3.5, 3.1, 3.0, 2.2, 2.1, 2.0] 
2018-11-19 14:24:31.5276 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Supported function versions [PullPrint]: [4.13, 4.12, 4.10, 4.9, 4.8, 4.7, 4.6, 4.5, 4.0, 3.6, 3.5, 2.5, 2.1, 2.0, 1.1, 1.0] 
2018-11-19 14:24:31.5276 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Supported function versions [Authentication]: [5.1, 5.0, 4.13, 4.12, 4.11, 4.10, 4.9, 4.8, 4.7, 4.6, 4.5, 4.2, 4.1, 4.0, 3.7, 3.6, 3.5, 2.5, 2.1, 2.0, 1.1, 1.0] 
2018-11-19 14:24:31.5276 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Supported function versions [Setup]: [5.1, 5.0, 4.13, 4.12, 4.11, 4.10, 4.9, 4.8, 4.7, 4.6, 4.5, 4.2, 4.1, 4.0, 3.8, 3.7, 3.6, 3.5, 2.5, 2.1, 2.0, 1.3, 1.2, 1.1, 1.0] 
2018-11-19 14:24:31.5276 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Supported function versions [JobManagement]: [4.10, 4.0, 3.6, 3.5, 1.0] 
2018-11-19 14:24:31.5276 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Supported function versions [OtherA]: [4.0, 3.5, 1.0] 
2018-11-19 14:24:31.5276 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Supported function versions [13]: [5.1, 5.0, 4.13, 4.12, 4.11, 4.10, 4.9, 4.8, 4.7, 4.6, 4.5] 
2018-11-19 14:24:31.5276 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Usable function versions [ScanTypeD]: [4.12, 4.10, 4.9, 4.8, 4.0, 3.7, 3.6, 3.5, 3.1, 3.0, 2.2, 2.1, 2.0] 
2018-11-19 14:24:31.5432 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Usable function versions [ScanTypeS]: [] 
2018-11-19 14:24:31.5432 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Usable function versions [PullPrint]: [4.13, 4.12, 4.10, 4.9, 4.8, 4.7, 4.6, 4.5, 4.0, 3.6, 3.5, 2.5, 2.1, 2.0, 1.1, 1.0] 
2018-11-19 14:24:31.5432 DEBUG                   21|    MfpConfigurationSource |         LogMfpConfig | [172.16.1.139][1] Usable function versions [Authentication]: [4.13, 4.12, 4.11, 4.10, 4.9, 4.8, 4.7, 4.6, 4.5, 4.2, 4.1, 4.0, 3.7, 3.6, 3.5, 2.5, 2.1, 2.0, 1.1, 1.0] 
